annotator,sentence_number,text,annotator_label,model_entities
dr_s,54,At the corner of the Boulevard des Capucines he took a taxi.,l,
dr_s,55,"The Place de la Concorde moved by in pink majesty; they crossed the logical Seine, and Charlie felt the sudden provincial quality of the Left Bank.",m,
dr_s,56,"Charlie directed his taxi to the Avenue de l'Opera, which was out of his way.",l,
dr_s,57,"But he wanted to see the blue hour spread over the magnificent facade, and imagine that the cab horns, playing endlessly the first few bars of La Plus que Lent, were the trumpets of the Second Empire.",m,
dr_s,58,"They were closing the iron grill in front of Brentano's Book-store, and people were already at dinner behind the trim little bourgeois hedge of Duval's.",m,
dr_s,59,He had never eaten at a really cheap restaurant in Paris.,l,
dr_s,60,"Five-course dinner, four francs fifty, eighteen cents, wine included.",l,
dr_s,61,For some odd reason he wished that he had.,l,
dr_s,62,"As they rolled on to the Left Bank and he felt its sudden provincialism, he thought, I spoiled this city for myself.",m,
dr_s,63,"I didn't realize it, but the days came along one after another, and then two years were gone, and everything was gone, and I was gone.",l,
dr_s,64,"He was thirty-five, and good to look at.",l,
dr_s,65,The Irish mobility of his face was sobered by a deep wrinkle between his eyes.,l,
dr_s,66,"As he rang his brother-in-law's bell in the Rue Palatine, the wrinkle deepened till it pulled down his brows; he felt a cramping sensation in his belly.",m,
dr_s,67,"From behind the maid who opened the door darted a lovely little girl of nine who shrieked Daddy! and flew up, struggling like a fish, into his arms.",m,
dr_s,68,She pulled his head around by one ear and set her cheek against his.,l,
dr_s,69,"My old pie, he said.",m,
dr_s,70,"Oh, daddy, daddy, daddy, daddy, dads, dads, dads! She drew him into the salon, where the family waited, a boy and girl his daughter's age, his sister-in-law and her husband.",l,
dr_s,71,"He greeted Marion with his voice pitched carefully to avoid either feigned enthusiasm or dislike, but her response was more frankly tepid, though she minimized her expression of unalterable distrust by directing her regard toward his child.",l,
dr_s,72,The two men clasped hands in a friendly way and Lincoln Peters rested his for a moment on Charlie's shoulder.,l,
dr_s,73,The room was warm and comfortably American.,l,
dr_s,74,"The three children moved intimately about, playing through the yellow oblongs that led to other rooms; the cheer of six o'clock spoke in the eager smacks of the fire and the sounds of French activity in the kitchen.",m,
dr_s,75,"But Charlie did not relax; his heart sat up rigidly in his body and he drew confidence from his daughter, who from time to time came close to him, holding in her arms the doll he had brought.",m,
dr_s,76,"Really extremely well, he declared in answer to Lincoln's question.",l,
dr_s,77,"There's a lot of business there that isn't moving at all, but we're doing even better than ever.",m,
dr_s,78,"In fact, damn well.",l,
dr_s,79,I'm bringing my sister over from America next month to keep house for me.,l,
dr_s,80,My income last year was bigger than it was when I had money.,l,
dr_s,81,"You see, the Czechs--",l,
dr_s,82,"His boasting was for a specific purpose; but after a moment, seeing a faint restiveness in Lincoln's eye, he changed the subject: Those are fine children of yours, well brought up, good manners.",l,
dr_s,83,We think Honoria's a great little girl too.,l,
dr_s,84,Marion Peters came back from the kitchen.,l,
dr_s,85,"She was a tall woman with worried eyes, who had once possessed a fresh American loveliness.",m,
dr_s,86,Charlie had never been sensitive to it and was always surprised when people spoke of how pretty she had been.,l,
dr_s,87,From the first there had been an instinctive antipathy between them.,l,
dr_s,88,"Well, how do you find Honoria? she asked.",l,
dr_s,89,Wonderful.,l,
dr_s,90,I was astonished how much she's grown in ten months.,l,
dr_s,91,All the children are looking well.,l,
dr_s,92,We haven't had a doctor for a year.,l,
dr_s,93,How do you like being back in Paris?,l,
dr_s,94,It seems very funny to see so few Americans around.,l,
dr_s,95,"I'm delighted, Marion said vehemently.",l,
dr_s,96,Now at least you can go into a store without their assuming you're a millionaire.,l,
dr_s,97,"We've suffered like everybody, but on the whole it's a good deal pleasanter.",l,
dr_s,98,"But it was nice while it lasted, Charlie said.",l,
dr_s,99,"We were a sort of royalty, almost infallible, with a sort of magic around us.",l,
dr_s,100,"In the bar this afternoon--he stumbled, seeing his mistake--there wasn't a man I knew.",l,
dr_s,101,She looked at him keenly.,l,
dr_s,102,I should think you'd have had enough of bars.,l,
dr_s,103,I only stayed a minute.,l,
dr_s,104,"I take one drink every afternoon, and no more.",l,
dr_s,105,Don't you want a cocktail before dinner?,l,
dr_s,106,Lincoln asked.,l,
dr_s,107,"I take only one drink every afternoon, and I've had that.",l,
dr_s,108,"I hope you keep to it, said Marion.",l,
dr_s,109,"Her dislike was evident in the coldness with which she spoke, but Charlie only smiled; he had larger plans.",m,
dr_s,110,"Her very aggressiveness gave him an advantage, and he knew enough to wait.",l,
dr_s,111,He wanted them to initiate the discussion of what they knew had brought him to Paris.,l,
dr_s,112,At dinner he couldn't decide whether Honoria was most like him or her mother.,l,
dr_s,113,Fortunate if she didn't combine the traits of both that had brought them to disaster.,l,
dr_s,114,A great wave of protectiveness went over him.,m,
dr_s,115,He thought he knew what to do for her.,l,
dr_s,116,He believed in character; he wanted to jump back a whole generation and trust in character again as the eternally valuable element.,m,
dr_s,117,Everything wore out.,l,
dr_s,118,"He left soon after dinner, but not to go home.",l,
dr_s,119,He was curious to see Paris by night with clearer and more judicious eyes than those of other days.,l,
dr_s,120,He bought a strapontin for the Casino and watched Josephine Baker go through her chocolate arabesques.,m,
dr_s,121,"After an hour he left and strolled toward Montmartre, up the Rue Pigalle into the Place Blanche.",l,
dr_s,122,"The rain had stopped and there were a few people in evening clothes disembarking from taxis in front of cabarets, and cocottes prowling singly or in pairs, and many Negroes.",m,
dr_s,123,"He passed a lighted door from which issued music, and stopped with the sense of familiarity; it was Bricktop's, where he had parted with so many hours and so much money.",l,
dr_s,124,A few doors farther on he found another ancient rendezvous and incautiously put his head inside.,l,
dr_s,125,"Immediately an eager orchestra burst into sound, a pair of professional dancers leaped to their feet and a maitre d'hotel swooped toward him, crying, Crowd just arriving, sir!",m,
dr_s,126,But he withdrew quickly.,l,
dr_s,127,"You have to be damn drunk, he thought.",l,
dr_s,128,"Zelli's was closed, the bleak and sinister cheap hotels surrounding it were dark; up in the Rue Blanche there was more light and a local, colloquial French crowd.",m,
dr_s,129,"The Poet's Cave had disappeared, but the two great mouths of the Cafe of Heaven and the Cafe of Hell still yawned--even devoured, as he watched, the meager contents of a tourist bus--a German, a Japanese, and an American couple who glanced at him with frightened eyes.",m,
dr_s,130,So much for the effort and ingenuity of Montmartre.,m,
dr_s,131,"All the catering to vice and waste was on an utterly childish scale, and he suddenly realized the meaning of the word dissipate--to dissipate into thin air; to make nothing out of something.",m,
dr_s,132,"In the little hours of the night every move from place to place was an enormous human jump, an increase of paying for the privilege of slower and slower motion.",m,
dr_s,133,"He remembered thousand-franc notes given to an orchestra for playing a single number, hundred-franc notes tossed to a doorman for calling a cab.",l,
dr_s,134,But it hadn't been given for nothing.,l,
dr_s,135,"It had been given, even the most wildly squandered sum, as an offering to destiny that he might not remember the things most worth remembering, the things that now he would always remember--his child taken from his control, his wife escaped to a grave in Vermont.",m,
dr_s,136,In the glare of a brasserie a woman spoke to him.,l,
dr_s,137,"He bought her some eggs and coffee, and then, eluding her encouraging stare, gave her a twenty-franc note and took a taxi to his hotel.",l,
dr_s,138,He woke upon a fine fall day--football weather.,l,
dr_s,139,The depression of yesterday was gone and he liked the people on the streets.,l,
dr_s,140,"At noon he sat opposite Honoria at Le Grand Vatel, the only restaurant he could think of not reminiscent of champagne dinners and long luncheons that began at two and ended in a blurred and vague twilight.",l,
dr_s,141,"Now, how about vegetables?",l,
dr_s,142,Oughtn't you to have some vegetables?,l,
dr_s,143,"Well, yes.",l,
dr_s,144,Here's epinards and chou-fleur and carrots and haricots.,l,
dr_s,145,I'd like chou-fleur.,l,
dr_s,146,Wouldn't you like to have two vegetables?,l,
dr_s,147,I usually only have one at lunch.,l,
dr_s,148,The waiter was pretending to be inordinately fond of children.,l,
dr_s,149,Qu'elle est mignonne la petite?,l,
dr_s,150,Elle parle exactement comme une Franu00c3u00a7aise.,l,
dr_s,151,How about dessert?,l,
dr_s,152,Shall we wait and see?,l,
dr_s,153,The waiter disappeared.,l,
dr_s,154,Honoria looked at her father expectantly.,l,
dr_s,155,What are we going to do?,l,
dr_s,156,"First, we're going to that toy store in the Rue Saint-Honore and buy you anything you like.",l,
dr_s,157,And then we're going to the vaudeville at the Empire.,l,
dr_s,158,She hesitated.,l,
dr_s,159,"I like it about the vaudeville, but not the toy store.",l,
dr_s,160,Why not?,l,
dr_s,161,"Well, you brought me this doll.",l,
dr_s,162,She had it with her.,l,
dr_s,163,And I've got lots of things.,l,
dr_s,164,"And we're not rich any more, are we?",l,
dr_s,165,We never were.,l,
dr_s,166,But today you are to have anything you want.,l,
dr_s,167,"All right, she agreed resignedly.",l,
dr_s,168,"When there had been her mother and a French nurse he had been inclined to be strict; now he extended himself, reached out for a new tolerance; he must be both parents to her and not shut any of her out of communication.",m,
dr_s,169,"I want to get to know you, he said gravely.",m,
dr_s,170,First let me introduce myself.,l,
dr_s,171,"My name is Charles J. Wales, of Prague.",l,
dr_s,172,"Oh, daddy! her voice cracked with laughter.",m,
dr_s,173,"And who are you, please? he persisted, and she accepted a role immediately: Honoria Wales, Rue Palatine, Paris.",l,
dr_s,174,Married or single?,m,
dr_s,175,"No, not married.",m,
dr_s,176,Single.,m,
dr_s,177,He indicated the doll.,l,
dr_s,178,"But I see you have a child, madame.",m,
dr_s,179,"Unwilling to disinherit it, she took it to her heart and thought quickly: Yes, I've been married, but I'm not married now.",m,
dr_s,180,My husband is dead.,m,
dr_s,181,"He went on quickly, And the child's name?",m,
dr_s,182,Simone.,m,
dr_s,183,That's after my best friend at school.,l,
dr_s,184,I'm very pleased that you're doing so well at school.,l,
dr_s,185,"I'm third this month, she boasted.",l,
dr_s,186,"Elsie--that was her cousin--is only about eighteenth, and Richard is about at the bottom.",l,
dr_s,187,"You like Richard and Elsie, don't you?",l,
dr_s,188,"Oh, yes.",l,
dr_s,189,I like Richard quite well and I like her all right.,l,
dr_s,190,Cautiously and casually he asked: And Aunt Marion and Uncle Lincoln--which do you like best?,l,
dr_s,191,"Oh, Uncle Lincoln, I guess.",l,
dr_s,192,He was increasingly aware of her presence.,l,
dr_s,193,"As they came in, a murmur of ... adorable followed them, and now the people at the next table bent all their silences upon her, staring as if she were something no more conscious than a flower.",l,
dr_s,194,Why don't I live with you? she asked suddenly.,l,
dr_s,195,Because mamma's dead?,l,
dr_s,196,You must stay here and learn more French.,l,
dr_s,197,It would have been hard for daddy to take care of you so well.,l,
dr_s,198,I don't really need much taking care of any more.,l,
dr_s,199,I do everything for myself.,l,
dr_s,200,"Going out of the restaurant, a man and a woman unexpectedly hailed him.",m,
dr_s,201,"Well, the old Wales!",l,
dr_s,202,"Hello there, Lorraine. ...",l,
dr_s,203,Dunc.,l,
dr_s,204,"Sudden ghosts out of the past: Duncan Schaeffer, a friend from college.",m,
dr_s,205,"Lorraine Quarrles, a lovely, pale blonde of thirty; one of a crowd who had helped them make months into days in the lavish times of three years ago.",l,
dr_s,206,"My husband couldn't come this year, she said, in answer to his question.",l,
dr_s,207,We're poor as hell.,l,
dr_s,208,So he gave me two hundred a month and told me I could do my worst on that. . . .,l,
dr_s,209,This your little girl?,l,
dr_s,210,What about coming back and sitting down?,l,
dr_s,211,Duncan asked.,l,
dr_s,212,Can't do it.,l,
dr_s,213,He was glad for an excuse.,l,
dr_s,214,"As always, he felt Lorraine's passionate, provocative attraction, but his own rhythm was different now.",m,
dr_s,215,"Well, how about dinner? she asked.",l,
dr_s,216,I'm not free.,l,
dr_s,217,Give me your address and let me call you.,l,
dr_s,218,"Charlie, I believe you're sober, she said judicially.",l,
dr_s,219,"I honestly believe he's sober, Dunc.",l,
dr_s,220,Pinch him and see if he's sober.,l,
dr_s,221,Charlie indicated Honoria with his head.,l,
dr_s,222,They both laughed.,l,
dr_s,223,What's your address? said Duncan sceptically.,l,
dr_s,224,"He hesitated, unwilling to give the name of his hotel.",l,
dr_s,225,I'm not settled yet.,l,
dr_s,226,I'd better call you.,l,
dr_s,227,We're going to see the vaudeville at the Empire.,l,
dr_s,228,There!,l,
dr_s,229,"That's what I want to do, Lorraine said.",l,
dr_s,230,I want to see some clowns and acrobats and jugglers.,l,
dr_s,231,"That's just what we'll do, Dunc.",l,
dr_s,232,"We've got to do an errand first, said Charlie.",l,
dr_s,233,Perhaps we'll see you there.,l,
dr_s,234,"All right, you snob. ...",l,
dr_s,235,"Good-by, beautiful little girl.",l,
dr_s,236,Good-by.,l,
dr_s,237,Honoria bobbed politely.,m,
dr_s,238,"Somehow, an unwelcome encounter.",l,
dr_s,239,"They liked him because he was functioning, because he was serious; they wanted to see him, because he was stronger than they were now, because they wanted to draw a certain sustenance from his strength.",l,
dr_s,240,"At the Empire, Honoria proudly refused to sit upon her father's folded coat.",l,
dr_s,241,"She was already an individual with a code of her own, and Charlie was more and more absorbed by the desire of putting a little of himself into her before she crystallized utterly.",m,
dr_s,242,It was hopeless to try to know her in so short a time.,l,
dr_s,243,Between the acts they came upon Duncan and Lorraine in the lobby where the band was playing.,l,
dr_s,244,Have a drink?,l,
dr_s,245,"All right, but not up at the bar.",l,
dr_s,246,We'll take a table.,l,
dr_s,247,The perfect father.,l,
dr_s,248,"Listening abstractedly to Lorraine, Charlie watched Honoria's eyes leave their table, and he followed them wistfully about the room, wondering what they saw.",l,
dr_s,249,He met her glance and she smiled.,m,
dr_s,250,"I liked that lemonade, she said.",l,
dr_s,251,What had she said?,l,
dr_s,252,What had he expected?,l,
dr_s,253,"Going home in a taxi afterward, he pulled her over until her head rested against his chest.",l,
dr_s,254,"Darling, do you ever think about your mother?",l,
dr_s,255,"Yes, sometimes, she answered vaguely.",l,
dr_s,256,I don't want you to forget her.,l,
dr_s,257,Have you got a picture of her?,l,
dr_s,258,"Yes, I think so.",l,
dr_s,259,"Anyhow, Aunt Marion has.",l,
dr_s,260,Why don't you want me to forget her?,l,
dr_s,261,She loved you very much.,l,
dr_s,262,I loved her too.,l,
dr_s,263,They were silent for a moment.,l,
dr_s,264,"Daddy, I want to come and live with you, she said suddenly.",l,
dr_s,265,His heart leaped; he had wanted it to come like this.,m,
dr_s,266,Aren't you perfectly happy?,l,
dr_s,267,"Yes, but I love you better than anybody.",l,
dr_s,268,"And you love me better than anybody, don't you, now that mummy's dead?",l,
dr_s,269,Of course I do.,l,
dr_s,270,"But you won't always like me best, honey.",l,
dr_s,271,You'll grow up and meet somebody your own age and go marry him and forget you ever had a daddy.,l,
dr_s,272,"Yes, that's true, she agreed tranquilly.",l,
dr_s,273,He didn't go in.,l,
dr_s,274,He was coming back at nine o'clock and he wanted to keep himself fresh and new for the thing he must say then.,m,
dr_s,275,"When you're safe inside, just show yourself in that window.",l,
dr_s,276,All right.,l,
dr_s,277,"Good-by, dads, dads, dads, dads.",l,
dr_s,278,"He waited in the dark street until she appeared, all warm and glowing, in the window above and kissed her fingers out into the night.",l,
dr_s,279,They were waiting.,l,
dr_s,280,Marion sat behind the coffee service in a dignified black dinner dress that just faintly suggested mourning.,l,
dr_s,281,Lincoln was walking up and down with the animation of one who had already been talking.,l,
dr_s,282,They were as anxious as he was to get into the question.,l,
dr_s,283,He opened it almost immediately: I suppose you know what I want to see you about--why I really came to Paris.,l,
dr_s,284,Marion played with the black stars on her necklace and frowned.,l,
dr_s,285,"I'm awfully anxious to have a home, he continued.",l,
dr_s,286,And I'm awfully anxious to have Honoria in it.,l,
dr_s,287,"I appreciate your taking in Honoria for her mother's sake, but things have changed now--he hesitated and then continued more forcibly--changed radically with me, and I want to ask you to reconsider the matter.",m,
dr_s,288,It would be silly for me to deny that about three years ago I was acting badly--Marion looked up at him with hard eyes.,m,
dr_s,289,--but all that's over.,l,
dr_s,290,"As I told you, I haven't had more than a drink a day for over a year, and I take that drink deliberately, so that the idea of alcohol won't get too big in my imagination.",m,
dr_s,291,You see the idea?,l,
dr_s,292,"No, said Marion succinctly.",l,
dr_s,293,It's a sort of stunt I set myself.,m,
dr_s,294,It keeps the matter in proportion.,l,
dr_s,295,"I get you, said Lincoln.",l,
dr_s,296,You don't want to admit it's got any attraction for you.,l,
dr_s,297,Something like that.,l,
dr_s,298,Sometimes I forget and don't take it.,l,
dr_s,299,But I try to take it.,l,
dr_s,300,"Anyhow, I couldn't afford to drink in my position.",l,
dr_s,301,"The people I represent are more than satisfied with what I've done, and I'm bringing my sister over from Burlington to keep house for me, and I want awfully to have Honoria too.",l,
dr_s,302,You know that even when her mother and I weren't getting along well we never let anything that happened touch Honoria.,l,
dr_s,303,"I know she's fond of me and I know I'm able to take care of her and--well, there you are.",l,
dr_s,304,How do you feel about it?,l,
dr_s,305,He knew that now he would have to take a beating.,m,
dr_s,306,"It would last an hour or two hours, and it would be difficult, but if he modulated his inevitable resentment to the chastened attitude of the reformed sinner, he might win his point in the end.",m,
dr_s,307,"Keep your temper, he told himself.",l,
dr_s,308,You don't want to be justified.,l,
dr_s,309,You want Honoria.,l,
dr_s,310,Lincoln spoke first: We've been talking it over ever since we got your letter last month.,l,
dr_s,311,We're happy to have Honoria here.,l,
dr_s,312,"She's a dear little thing, and we're glad to be able to help her, but of course that isn't the question--Marion interrupted suddenly.",l,
dr_s,313,"How long are you going to stay sober, Charlie? she asked.",l,
dr_s,314,"Permanently, I hope.",l,
dr_s,315,How can anybody count on that?,l,
dr_s,316,You know I never did drink heavily until I gave up business and came over here with nothing to do.,l,
dr_s,317,Then Helen and I began to run around with--Please leave Helen out of it.,l,
dr_s,318,I can't bear to hear you talk about her like that.,l,
dr_s,319,He stared at her grimly; he had never been certain how fond of each other the sisters were in life.,m,
dr_s,320,My drinking only lasted about a year and a half--from the time we came over until I--collapsed.,l,
dr_s,321,It was time enough.,l,
dr_s,322,"It was time enough, he agreed.",l,
dr_s,323,"My duty is entirely to Helen, she said.",l,
dr_s,324,I try to think what she would have wanted me to do.,l,
dr_s,325,"Frankly, from the night you did that terrible thing you haven't really existed for me.",l,
dr_s,326,I can't help that.,l,
dr_s,327,She was my sister.,l,
dr_s,328,Yes.,l,
dr_s,329,When she was dying she asked me to look out for Honoria.,l,
dr_s,330,"If you hadn't been in a sanitarium then, it might have helped matters.",l,
dr_s,331,He had no answer.,l,
dr_s,332,"I'll never in my life be able to forget the morning when Helen knocked at my door, soaked to the skin and shivering, and said you'd locked her out.",l,
dr_s,333,Charlie gripped the sides of the chair.,l,
dr_s,334,"This was more difficult than he expected; he wanted to launch out into a long expostulation and explanation, but he only said: The night I locked her out-- and she interrupted, I don't feel up to going over that again.",m,
dr_s,335,After a moment's silence Lincoln said: We're getting off the subject.,l,
dr_s,336,You want Marion to set aside her legal guardianship and give you Honoria.,l,
dr_s,337,I think the main point for her is whether she has confidence in you or not.,l,
dr_s,338,"I don't blame Marion, Charlie said slowly, but I think she can have entire confidence in me.",l,
dr_s,339,I had a good record up to three years ago.,l,
dr_s,340,"Of course, it's within human possibilities I might go wrong any time.",l,
dr_s,341,But if we wait much longer I'll lose Honoria's childhood and my chance for a home.,l,
dr_s,342,"He shook his head, I'll simply lose her, don't you see?",l,
dr_s,343,"Yes, I see, said Lincoln.",l,
dr_s,344,Why didn't you think of all this before?,l,
dr_s,345,Marion asked.,l,
dr_s,346,"I suppose I did, from time to time, but Helen and I were getting along badly.",l,
dr_s,347,"When I consented to the guardianship, I was flat on my back in a sanitarium and the market had cleaned me out.",m,
dr_s,348,"I knew I'd acted badly, and I thought if it would bring any peace to Helen, I'd agree to anything.",l,
dr_s,349,But now it's different.,l,
dr_s,350,"I'm functioning, I'm behaving damn well, so far as--Please don't swear at me, Marion said.",l,
dr_s,351,"He looked at her, startled.",l,
dr_s,352,With each remark the force of her dislike became more and more apparent.,m,
dr_s,353,She had built up all her fear of life into one wall and faced it toward him.,m,
dr_s,354,This trivial reproof was possibly the result of some trouble with the cook several hours before.,l,
dr_s,355,"Charlie became increasingly alarmed at leaving Honoria in this atmosphere of hostility against himself; sooner or later it would come out, in a word here, a shake of the head there, and some of that distrust would be irrevocably implanted in Honoria.",m,
dr_s,356,"But he pulled his temper down out of his face and shut it up inside him; he had won a point, for Lincoln realized the absurdity of Marion's remark and asked her lightly since when she had objected to the word damn.",m,
dr_s,357,"Another thing, Charlie said: I'm able to give her certain advantages now.",l,
dr_s,358,I'm going to take a French governess to Prague with me.,l,
dr_s,359,I've got a lease on a new apartment--,l,
dr_s,360,"He stopped, realizing that he was blundering.",l,
dr_s,361,They couldn't be expected to accept with equanimity the fact that his income was again twice as large as their own.,l,
dr_s,362,"I suppose you can give her more luxuries than we can, said Marion.",l,
dr_s,363,When you were throwing away money we were living along watching every ten francs. ...,m,
dr_s,364,I suppose you'll start doing it again.,l,
dr_s,365,"Oh, no, he said.",l,
dr_s,366,I've learned.,l,
dr_s,367,"I worked hard for ten years, you know--until I got lucky in the market, like so many people.",l,
dr_s,368,Terribly lucky.,l,
dr_s,369,"It didn't seem any use working any more, so I quit.",l,
dr_s,370,It won't happen again.,l,
dr_s,371,There was a long silence.,m,
dr_s,372,"All of them felt their nerves straining, and for the first time in a year Charlie wanted a drink.",l,
dr_s,373,He was sure now that Lincoln Peters wanted him to have his child.,l,
dr_s,374,"Marion shuddered suddenly; part of her saw that Charlie's feet were planted on the earth now, and her own maternal feeling recognized the naturalness of his desire; but she had lived for a long time with a prejudice--a prejudice founded on a curious disbelief in her sister's happiness, and which, in the shock of one terrible night, had turned to hatred for him.",m,
dr_s,375,It had all happened at a point in her life where the discouragement of ill health and adverse circumstances made it necessary for her to believe in tangible villainy and a tangible villain.,l,
dr_s,376,I can't help what I think!,l,
dr_s,377,she cried out suddenly.,l,
dr_s,378,"How much you were responsible for Helen's death, I don't know.",l,
dr_s,379,It's something you'll have to square with your own conscience.,m,
dr_s,380,"An electric current of agony surged through him; for a moment he was almost on his feet, an unuttered sound echoing in his throat.",m,
dr_s,381,"He hung on to himself for a moment, another moment.",m,
dr_s,382,"Hold on there, said Lincoln uncomfortably.",l,
dr_s,383,I never thought you were responsible for that.,l,
dr_s,384,"Helen died of heart trouble, Charlie said dully.",l,
dr_s,385,"Yes, heart trouble.",l,
dr_s,386,Marion spoke as if the phrase had another meaning for her.,l,
dr_s,387,"Then, in the flatness that followed her outburst, she saw him plainly and she knew he had somehow arrived at control over the situation.",m,
dr_s,388,"Glancing at her husband, she found no help from him, and as abruptly as if it were a matter of no importance, she threw up the sponge.",m,
dr_s,389,Do what you like!,l,
dr_s,390,"she cried, springing up from her chair.",l,
dr_s,391,She's your child.,l,
dr_s,392,I'm not the person to stand in your way.,m,
dr_s,393,I think if it were my child I'd rather see her--,l,
dr_s,394,She managed to check herself.,m,
dr_s,395,You two decide it.,l,
dr_s,396,I can't stand this.,m,
dr_s,397,I'm sick.,l,
dr_s,398,I'm going to bed.,l,
dr_s,399,She hurried from the room; after a moment Lincoln said: This has been a hard day for her.,l,
dr_s,400,You know how strongly she feels--,l,
dr_s,401,His voice was almost apologetic: When a woman gets an idea in her head.,l,
dr_s,402,Of course.,l,
dr_s,403,It's going to be all right.,l,
dr_s,404,"I think she sees now that you--can provide for the child, and so we can't very well stand in your way or Honoria's way.",m,
dr_s,405,"Thank you, Lincoln.",l,
dr_s,406,I'd better go along and see how she is.,l,
dr_s,407,I'm going.,l,
dr_s,408,"He was still trembling when he reached the street, but a walk down the Rue Bonaparte to the quais set him up, and as he crossed the Seine, fresh and new by the quai lamps, he felt exultant.",l,
dr_s,409,But back in his room he couldn't sleep.,l,
dr_s,410,The image of Helen haunted him.,m,
dr_s,411,"Helen whom he had loved so until they had senselessly begun to abuse each other's love, tear it into shreds.",m,
dr_s,412,"On that terrible February night that Marion remembered so vividly, a slow quarrel had gone on for hours.",m,
dr_s,413,"There was a scene at the Florida, and then he attempted to take her home, and then she kissed young Webb at a table; after that there was what she had hysterically said.",l,
dr_s,414,When he arrived home alone he turned the key in the lock in wild anger.,m,
dr_s,415,"How could he know she would arrive an hour later alone, that there would be a snowstorm in which she wandered about in slippers, too confused to find a taxi?",l,
dr_s,416,"Then the aftermath, her escaping pneumonia by a miracle, and all the attendant horror.",m,
dr_s,417,"They were reconciled, but that was the beginning of the end, and Marion, who had seen with her own eyes and who imagined it to be one of many scenes from her sister's martyrdom, never forgot.",m,
dr_s,418,"Going over it again brought Helen nearer, and in the white, soft light that steals upon half sleep near morning he found himself talking to her again.",m,
dr_s,419,She said that he was perfectly right about Honoria and that she wanted Honoria to be with him.,l,
dr_s,420,She said she was glad he was being good and doing better.,l,
